blog_title,contribution_pk,description,id,jsondata,markup_description,name,ordinal_qualifier,pk,representation
,98,,98A,{},,Alignment of Case Marking of Full Noun Phrases,A,98,190
,99,,99A,{},,Alignment of Case Marking of Pronouns,A,99,172
,100,,100A,{},,Alignment of Verbal Person Marking,A,100,380
,101,,101A,{},,Expression of Pronominal Subjects,A,101,711
,102,,102A,{},,Verbal Person Marking,A,102,378
,103,,103A,{},,Third Person Zero of Verbal Person Marking,A,103,380
,104,,104A,{},,Order of Person Markers on the Verb,A,104,379
,105,,105A,{},,Ditransitive Constructions: The Verb 'Give',A,105,378
,106,,106A,{},,Reciprocal Constructions,A,106,175
,107,,107A,{},,Passive Constructions,A,107,373
,108,,108A,{},,Antipassive Constructions,A,108,194
,108,,108B,{},,Productivity of the Antipassive Construction,B,189,186
,109,,109A,{},,Applicative Constructions,A,109,183
,109,,109B,{},,Other Roles of Applied Objects,B,185,183
,110,,110A,{},,Periphrastic Causative Constructions,A,110,118
,111,,111A,{},,Nonperiphrastic Causative Constructions,A,111,310
,112,,112A,{},,Negative Morphemes,A,112,1157
,113,,113A,{},,Symmetric and Asymmetric Standard Negation,A,113,297
,114,,114A,{},,Subtypes of Asymmetric Standard Negation,A,114,297
,115,,115A,{},,Negative Indefinite Pronouns and Predicate Negation,A,115,206
,116,,116A,{},,Polar Questions,A,116,955
,117,,117A,{},,Predicative Possession,A,117,240
,118,,118A,{},,Predicative Adjectives,A,118,386
,119,,119A,{},,Nominal and Locational Predication,A,119,386
,120,,120A,{},,Zero Copula for Predicate Nominals,A,120,386
,121,,121A,{},,Comparative Constructions,A,121,167
