,4A,5A,6A,7A,8A,18A,19A,2A,3A,1A,11A,13A,14A,15A,16A,12A,9A,17A,10A
ckr,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,3.0,1.0,,
arp,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,6.0,8.0,1.0,2.0,3.0,,2.0
bsq,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,,,,3.0,3.0,,2.0
war,1.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,7.0,8.0,1.0,2.0,3.0,5.0,1.0
kse,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,,,,,,1.0,,
may,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,8.0,1.0,1.0,3.0,1.0,2.0
mao,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,,2.0
mun,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,,1.0
tag,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,6.0,8.0,6.0,2.0,1.0,1.0,2.0
mei,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,,,,2.0,1.0,,2.0
orh,4.0,3.0,1.0,5.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,3.0,,,,2.0,3.0,,2.0
ond,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,6.0,8.0,1.0,3.0,3.0,5.0,
mau,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,6.0,8.0,1.0,3.0,1.0,1.0,2.0
coo,2.0,2.0,4.0,2.0,4.0,1.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0,2.0
imo,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,3.0,3.0,,2.0
lav,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,1.0,2.0
eve,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0
ame,2.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,5.0,3.0,2.0,3.0,5.0,2.0
aeg,4.0,3.0,4.0,1.0,2.0,1.0,4.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,7.0,3.0,3.0,1.0,2.0
yim,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,1.0,2.0
sla,3.0,1.0,1.0,6.0,4.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,1.0,7.0,6.0,2.0,3.0,5.0,1.0
ala,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,6.0,5.0,3.0,3.0,,2.0
lan,2.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,8.0,1.0,2.0,1.0,,1.0
hmo,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,5.0,5.0,1.0,3.0,,,,2.0,2.0,,
rus,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,5.0,6.0,3.0,3.0,5.0,2.0
koa,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,,1.0
niv,3.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,8.0,1.0,3.0,1.0,,2.0
gua,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,7.0,8.0,1.0,1.0,3.0,,1.0
heb,,,,,,,,,,,,,7.0,8.0,1.0,,3.0,1.0,2.0
lat,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,2.0,8.0,1.0,3.0,3.0,5.0,2.0
yor,2.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,,,,1.0,3.0,,1.0
kha,4.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,5.0,2.0,,2.0,5.0,2.0
kob,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,6.0,8.0,1.0,2.0,2.0,5.0,2.0
prh,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,7.0,1.0,3.0,,2.0
jpn,4.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,,,,2.0,3.0,,2.0
tha,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,,,,2.0,1.0,,2.0
knd,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,,,,3.0,3.0,,2.0
juh,4.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,5.0,1.0,3.0,,,,1.0,2.0,,
grk,4.0,2.0,1.0,1.0,2.0,1.0,5.0,2.0,3.0,3.0,1.0,1.0,5.0,8.0,6.0,3.0,3.0,1.0,2.0
yaq,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,8.0,7.0,2.0,3.0,1.0,2.0
mnd,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,7.0,6.0,2.0,2.0,,2.0
cmn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,8.0,1.0,2.0,3.0,1.0,2.0
bag,2.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,1.0,3.0,7.0,8.0,1.0,2.0,1.0,,1.0
rap,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,8.0,1.0,1.0,1.0,4.0,2.0
wch,1.0,1.0,2.0,6.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,8.0,1.0,2.0,3.0,1.0,2.0
squ,1.0,1.0,4.0,6.0,4.0,1.0,4.0,1.0,5.0,5.0,1.0,1.0,6.0,8.0,5.0,3.0,3.0,5.0,2.0
hix,2.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,7.0,4.0,2.0,3.0,2.0,2.0
zul,3.0,1.0,1.0,5.0,4.0,1.0,2.0,2.0,5.0,4.0,1.0,2.0,6.0,8.0,1.0,2.0,,1.0,2.0
qim,,,,,,,,,,,,,6.0,8.0,1.0,,3.0,,2.0
nen,2.0,1.0,1.0,1.0,2.0,1.0,7.0,2.0,4.0,4.0,1.0,1.0,2.0,8.0,3.0,3.0,1.0,1.0,2.0
vie,3.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,,,,2.0,1.0,,2.0
geo,4.0,1.0,4.0,2.0,3.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,5.0,8.0,1.0,3.0,3.0,1.0,2.0
kfe,4.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,8.0,1.0,2.0,2.0,5.0,1.0
myi,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,6.0,8.0,1.0,3.0,1.0,1.0,2.0
dag,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,2.0,3.0,,2.0
ram,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,7.0,4.0,2.0,1.0,1.0,2.0
ger,4.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0
tuk,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,6.0,8.0,1.0,1.0,1.0,1.0,2.0
khs,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,7.0,8.0,1.0,3.0,1.0,,2.0
nug,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,6.0,8.0,1.0,2.0,1.0,1.0,2.0
eng,4.0,2.0,1.0,1.0,2.0,1.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,1.0,2.0
swa,4.0,2.0,1.0,1.0,2.0,1.0,5.0,2.0,4.0,4.0,1.0,1.0,6.0,8.0,1.0,1.0,1.0,,2.0
tru,2.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,7.0,8.0,1.0,2.0,3.0,,2.0
cre,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,8.0,1.0,2.0,3.0,1.0,2.0
apu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0
grw,3.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,7.0,8.0,4.0,2.0,2.0,4.0,2.0
ewe,4.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,4.0,1.0,2.0,,,,2.0,1.0,,
yko,2.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,1.0,5.0,4.0,2.0,1.0,,2.0
kro,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,5.0,5.0,2.0,1.0,4.0,2.0
hau,4.0,3.0,1.0,5.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,,,,2.0,3.0,,2.0
arm,3.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,5.0,5.0,,3.0,4.0,2.0
ngi,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,4.0,,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,2.0
mrt,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,8.0,2.0,2.0,1.0,1.0,2.0
map,1.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,3.0,3.0,1.0,1.0,3.0,8.0,1.0,2.0,1.0,2.0,2.0
san,4.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,1.0,2.0,,,,1.0,3.0,,1.0
grb,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,1.0,7.0,6.0,1.0,1.0,5.0,1.0
asm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,8.0,6.0,2.0,3.0,2.0,2.0
yag,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,2.0,3.0,,1.0
luv,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,6.0,8.0,1.0,1.0,1.0,1.0,
snm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,8.0,1.0,2.0,3.0,1.0,1.0
spa,3.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,7.0,2.0,3.0,1.0,2.0
fin,4.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,8.0,1.0,2.0,2.0,1.0,2.0
mxc,4.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,3.0,2.0,1.0,3.0,,,,1.0,3.0,,1.0
kio,2.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,,,,2.0,3.0,,
prs,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,7.0,8.0,1.0,3.0,3.0,,2.0
pai,4.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,6.0,8.0,1.0,2.0,1.0,5.0,2.0
bur,4.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,7.0,6.0,3.0,2.0,1.0,1.0
mal,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,6.0,8.0,1.0,2.0,1.0,5.0,2.0
fre,4.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,5.0,3.0,3.0,4.0,1.0
tiw,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,6.0,8.0,1.0,2.0,1.0,1.0,2.0
kew,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,7.0,6.0,1.0,3.0,5.0,
aco,1.0,1.0,1.0,6.0,1.0,1.0,5.0,2.0,5.0,5.0,1.0,3.0,,,,2.0,3.0,,2.0
tab,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,6.0,8.0,1.0,3.0,1.0,1.0,2.0
kor,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,,,,2.0,2.0,,2.0
hun,4.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,2.0,8.0,2.0,3.0,3.0,1.0,2.0
bma,4.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,5.0,4.0,1.0,1.0,7.0,8.0,1.0,3.0,3.0,,2.0
dni,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,2.0,2.0,1.0,
lkt,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,,,,3.0,3.0,,1.0
mar,1.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,4.0,3.0,1.0,1.0,7.0,8.0,1.0,3.0,3.0,5.0,2.0
khm,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,7.0,8.0,5.0,3.0,2.0,4.0,2.0
knr,4.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,,,,2.0,1.0,,2.0
goo,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,8.0,4.0,2.0,1.0,1.0,2.0
fij,1.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0
hin,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,5.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,,1.0
sup,4.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,8.0,1.0,2.0,1.0,,1.0
krk,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,5.0,2.0,,3.0,,1.0
wic,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,,3.0,3.0,2.0
ket,2.0,5.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,,,,3.0,2.0,,2.0
shk,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,,
lez,4.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,5.0,5.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,,2.0
kut,1.0,1.0,4.0,6.0,5.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,6.0,8.0,6.0,3.0,3.0,1.0,2.0
klv,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,,2.0
ain,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,2.0,3.0,,2.0
tur,4.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,5.0,6.0,2.0,3.0,5.0,2.0
hzb,4.0,2.0,4.0,2.0,4.0,1.0,4.0,3.0,3.0,5.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,,1.0
wra,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,8.0,1.0,1.0,3.0,1.0,1.0
irq,2.0,2.0,2.0,5.0,4.0,1.0,4.0,2.0,5.0,4.0,1.0,2.0,1.0,6.0,7.0,2.0,1.0,5.0,2.0
kay,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,8.0,7.0,2.0,1.0,1.0,2.0
pau,4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,5.0,8.0,1.0,1.0,3.0,,2.0
cha,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,4.0,2.0
epe,2.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,,1.0
jak,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,2.0,8.0,1.0,2.0,3.0,,2.0
chk,1.0,1.0,2.0,1.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,8.0,1.0,3.0,1.0,,2.0
brm,4.0,2.0,1.0,1.0,2.0,1.0,5.0,3.0,3.0,4.0,1.0,3.0,,,,2.0,1.0,,2.0
awp,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,3.0,3.0,,2.0
kho,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,3.0,,,,2.0,3.0,,2.0
hai,1.0,1.0,4.0,6.0,4.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,,,,3.0,3.0,,2.0
abk,4.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,5.0,5.0,1.0,1.0,1.0,7.0,6.0,3.0,3.0,,2.0
ind,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,6.0,8.0,1.0,3.0,1.0,1.0,2.0
