,112A,116A,101A,118A,119A,120A,100A,103A,104A,102A,105A,107A,111A,113A,114A,117A,115A,108A,98A,108B,109A
ckr,2.0,1.0,,1.0,1.0,2.0,3,2,1,3,1.0,2,,1,7,1.0,1.0,2.0,1.0,,8.0
arp,2.0,1.0,2.0,3.0,1.0,2.0,4,2,2,5,,2,,3,2,,,3.0,1.0,4.0,3.0
bsq,2.0,1.0,2.0,2.0,1.0,1.0,3,2,3,5,1.0,1,2.0,2,3,5.0,1.0,2.0,6.0,2.0,8.0
war,4.0,6.0,4.0,,,,2,2,2,5,3.0,1,3.0,2,1,,,3.0,1.0,4.0,8.0
kse,2.0,1.0,1.0,,,,1,1,1,1,4.0,1,4.0,3,3,,1.0,1.0,1.0,1.0,5.0
may,2.0,1.0,5.0,,,,2,2,1,2,4.0,2,1.0,1,7,,1.0,3.0,1.0,4.0,3.0
mao,4.0,6.0,5.0,3.0,1.0,2.0,1,1,1,1,1.0,1,2.0,2,1,2.0,1.0,3.0,2.0,4.0,8.0
mun,,1.0,3.0,3.0,1.0,1.0,2,2,3,5,,1,4.0,1,7,1.0,1.0,,1.0,,
tag,2.0,1.0,,1.0,1.0,1.0,1,1,1,1,4.0,2,2.0,1,7,3.0,1.0,3.0,1.0,4.0,3.0
mei,1.0,1.0,5.0,1.0,1.0,1.0,1,1,1,1,1.0,2,2.0,3,5,2.0,,3.0,2.0,4.0,3.0
orh,6.0,6.0,2.0,3.0,2.0,2.0,2,3,1,2,1.0,2,2.0,3,5,5.0,1.0,3.0,3.0,4.0,8.0
ond,2.0,1.0,2.0,1.0,1.0,1.0,4,2,2,5,,2,2.0,3,3,,,3.0,,4.0,3.0
mau,2.0,1.0,2.0,3.0,1.0,2.0,2,2,4,5,,2,2.0,3,2,,,3.0,1.0,4.0,8.0
coo,2.0,1.0,2.0,1.0,1.0,1.0,2,5,5,5,3.0,1,2.0,1,7,4.0,1.0,,4.0,,
imo,2.0,1.0,5.0,2.0,1.0,2.0,1,1,1,1,1.0,2,,3,4,,,3.0,6.0,4.0,3.0
lav,5.0,1.0,2.0,,,,2,2,3,5,1.0,2,2.0,3,5,,1.0,1.0,1.0,3.0,8.0
eve,6.0,1.0,1.0,2.0,2.0,2.0,2,2,1,2,1.0,1,2.0,2,1,,1.0,3.0,2.0,4.0,8.0
ame,2.0,1.0,,2.0,1.0,2.0,2,2,3,5,1.0,2,2.0,3,3,4.0,,3.0,1.0,4.0,1.0
aeg,2.0,1.0,2.0,2.0,2.0,2.0,2,4,2,5,4.0,1,2.0,1,7,1.0,1.0,3.0,1.0,4.0,8.0
yim,1.0,,2.0,3.0,1.0,1.0,6,2,4,5,1.0,2,4.0,2,5,4.0,,3.0,1.0,4.0,3.0
sla,2.0,1.0,2.0,1.0,1.0,1.0,2,4,3,5,1.0,1,2.0,1,7,,1.0,3.0,1.0,4.0,8.0
ala,2.0,6.0,2.0,3.0,1.0,1.0,2,2,2,5,3.0,2,4.0,3,2,4.0,,3.0,1.0,4.0,1.0
lan,2.0,6.0,2.0,,,,2,3,2,5,4.0,2,2.0,1,7,4.0,4.0,1.0,1.0,2.0,3.0
hmo,4.0,1.0,1.0,,,,1,1,1,1,1.0,1,1.0,1,7,,1.0,3.0,1.0,4.0,8.0
rus,2.0,1.0,1.0,2.0,2.0,2.0,2,2,1,2,1.0,1,2.0,1,7,1.0,1.0,3.0,2.0,4.0,8.0
koa,1.0,,2.0,,,,4,5,3,5,1.0,1,4.0,3,3,3.0,1.0,3.0,2.0,4.0,8.0
niv,1.0,1.0,5.0,1.0,1.0,2.0,1,1,1,1,3.0,2,2.0,3,4,,1.0,3.0,1.0,4.0,8.0
gua,6.0,1.0,2.0,1.0,1.0,2.0,4,5,5,5,1.0,2,2.0,3,3,5.0,1.0,3.0,2.0,4.0,8.0
heb,2.0,1.0,6.0,2.0,2.0,2.0,2,4,1,2,1.0,1,2.0,3,1,1.0,1.0,3.0,2.0,4.0,8.0
lat,1.0,1.0,1.0,2.0,2.0,2.0,2,4,1,2,1.0,1,2.0,3,3,1.0,1.0,3.0,2.0,4.0,8.0
yor,4.0,6.0,5.0,1.0,1.0,1.0,1,1,1,1,3.0,2,1.0,3,3,5.0,,3.0,1.0,4.0,8.0
kha,1.0,1.0,5.0,2.0,2.0,2.0,1,1,1,1,1.0,1,2.0,3,1,1.0,,3.0,2.0,4.0,8.0
kob,1.0,1.0,2.0,2.0,2.0,2.0,2,4,1,2,2.0,2,3.0,1,7,3.0,1.0,3.0,1.0,4.0,8.0
prh,1.0,3.0,,,,,2,2,2,5,2.0,2,2.0,1,7,5.0,,3.0,1.0,4.0,8.0
jpn,1.0,1.0,5.0,3.0,1.0,1.0,1,1,1,1,1.0,1,2.0,2,5,1.0,1.0,3.0,2.0,4.0,8.0
tha,3.0,1.0,5.0,1.0,1.0,2.0,1,1,1,1,1.0,1,1.0,1,7,3.0,1.0,3.0,1.0,4.0,8.0
knd,1.0,1.0,2.0,2.0,2.0,2.0,2,2,1,2,1.0,1,2.0,2,5,1.0,1.0,3.0,2.0,4.0,1.0
juh,4.0,1.0,1.0,1.0,2.0,1.0,1,1,1,1,3.0,2,3.0,1,7,5.0,,3.0,1.0,4.0,5.0
grk,2.0,1.0,2.0,2.0,2.0,1.0,2,2,3,5,1.0,1,1.0,1,7,5.0,1.0,3.0,2.0,4.0,8.0
yaq,2.0,1.0,6.0,1.0,1.0,2.0,1,1,1,1,3.0,1,2.0,1,7,5.0,3.0,3.0,2.0,4.0,1.0
mnd,2.0,1.0,5.0,1.0,1.0,1.0,1,1,1,1,4.0,1,3.0,3,1,3.0,1.0,3.0,1.0,4.0,8.0
cmn,2.0,1.0,3.0,,,,2,2,3,5,2.0,1,2.0,3,3,,,1.0,2.0,1.0,3.0
bag,2.0,1.0,,1.0,1.0,2.0,2,2,2,5,1.0,2,1.0,3,3,,1.0,3.0,1.0,4.0,8.0
rap,4.0,1.0,5.0,,,,1,1,1,1,1.0,2,2.0,3,3,,,3.0,1.0,4.0,8.0
wch,2.0,1.0,,3.0,1.0,1.0,2,5,2,5,3.0,2,2.0,3,2,,1.0,3.0,1.0,4.0,8.0
squ,3.0,1.0,2.0,1.0,1.0,1.0,2,5,3,5,,1,2.0,2,4,,1.0,,1.0,,
hix,1.0,6.0,2.0,2.0,2.0,2.0,6,2,2,5,1.0,1,2.0,2,1,4.0,,3.0,1.0,4.0,8.0
zul,1.0,1.0,2.0,3.0,2.0,1.0,2,2,2,5,2.0,1,2.0,3,3,4.0,1.0,3.0,1.0,4.0,3.0
qim,2.0,1.0,2.0,2.0,2.0,2.0,2,3,3,5,1.0,1,2.0,3,2,5.0,1.0,3.0,2.0,4.0,8.0
nen,3.0,,2.0,2.0,2.0,2.0,2,4,1,2,,1,2.0,2,1,2.0,,,2.0,,
vie,4.0,1.0,5.0,1.0,1.0,2.0,1,1,1,1,2.0,1,3.0,1,7,3.0,1.0,3.0,1.0,4.0,8.0
geo,2.0,6.0,4.0,2.0,2.0,1.0,2,2,3,5,1.0,1,2.0,1,7,5.0,3.0,3.0,6.0,4.0,3.0
kfe,2.0,1.0,2.0,,,,2,2,2,5,3.0,2,2.0,1,7,,1.0,3.0,1.0,4.0,8.0
myi,2.0,1.0,2.0,3.0,2.0,2.0,2,4,4,5,2.0,2,4.0,3,6,4.0,2.0,1.0,2.0,,8.0
dag,2.0,,2.0,2.0,2.0,1.0,2,2,3,5,,2,,1,7,4.0,,3.0,1.0,4.0,8.0
ram,2.0,,2.0,2.0,2.0,2.0,2,2,1,2,,2,4.0,3,5,,,3.0,1.0,4.0,8.0
ger,2.0,4.0,1.0,,,,2,2,1,2,1.0,1,2.0,1,7,,2.0,3.0,2.0,4.0,8.0
tuk,,1.0,2.0,1.0,1.0,2.0,2,2,2,5,2.0,1,2.0,1,7,,,3.0,4.0,4.0,3.0
khs,4.0,1.0,1.0,3.0,1.0,1.0,2,2,1,2,1.0,2,2.0,3,3,3.0,1.0,3.0,2.0,4.0,8.0
nug,2.0,1.0,2.0,,,,5,5,5,5,,2,2.0,3,6,,,3.0,1.0,4.0,3.0
eng,2.0,4.0,1.0,2.0,2.0,1.0,2,2,1,2,4.0,1,2.0,3,3,5.0,3.0,3.0,1.0,4.0,8.0
swa,1.0,1.0,2.0,3.0,2.0,1.0,2,2,2,5,2.0,1,2.0,3,3,4.0,1.0,3.0,1.0,4.0,3.0
tru,2.0,,1.0,,,,3,2,1,3,1.0,2,3.0,3,3,,1.0,,4.0,,
cre,2.0,1.0,3.0,1.0,1.0,1.0,5,5,3,5,3.0,2,2.0,1,7,,,1.0,,1.0,1.0
apu,2.0,6.0,2.0,,,,4,2,2,5,4.0,1,2.0,1,7,,,3.0,1.0,4.0,8.0
grw,1.0,2.0,2.0,3.0,1.0,1.0,2,2,2,5,3.0,1,2.0,2,3,5.0,1.0,2.0,4.0,1.0,3.0
ewe,6.0,1.0,2.0,3.0,1.0,1.0,2,2,2,5,,2,1.0,3,3,1.0,,3.0,1.0,4.0,8.0
yko,1.0,6.0,2.0,1.0,1.0,1.0,2,2,1,2,1.0,2,2.0,3,3,4.0,1.0,,2.0,,
kro,6.0,2.0,6.0,1.0,1.0,1.0,1,1,1,1,1.0,1,1.0,3,1,5.0,,1.0,1.0,1.0,3.0
hau,2.0,1.0,4.0,2.0,1.0,1.0,1,1,1,1,3.0,1,2.0,3,3,4.0,1.0,3.0,1.0,4.0,3.0
arm,5.0,6.0,2.0,2.0,2.0,1.0,2,4,1,2,,1,2.0,3,1,2.0,,3.0,2.0,4.0,8.0
ngi,2.0,1.0,3.0,2.0,2.0,1.0,6,2,4,5,3.0,2,2.0,1,7,,1.0,3.0,4.0,4.0,8.0
mrt,2.0,6.0,5.0,,,,1,1,1,1,3.0,1,2.0,1,7,,,3.0,2.0,4.0,8.0
map,1.0,1.0,2.0,3.0,1.0,1.0,5,2,2,5,3.0,1,2.0,1,7,5.0,1.0,3.0,1.0,4.0,8.0
san,2.0,1.0,2.0,,,,1,1,1,1,1.0,2,,1,7,4.0,,3.0,1.0,4.0,8.0
grb,3.0,1.0,4.0,1.0,1.0,1.0,1,1,1,1,2.0,1,2.0,2,6,,,3.0,1.0,4.0,3.0
asm,2.0,1.0,2.0,2.0,2.0,2.0,2,4,3,5,,2,2.0,3,2,3.0,,3.0,1.0,4.0,2.0
yag,2.0,1.0,3.0,2.0,2.0,2.0,4,2,2,5,3.0,2,2.0,1,7,,,3.0,1.0,4.0,5.0
luv,6.0,1.0,2.0,,,,2,2,2,5,,2,2.0,3,5,,,3.0,1.0,4.0,3.0
snm,3.0,6.0,1.0,1.0,2.0,2.0,1,1,1,1,1.0,1,2.0,3,3,,,2.0,4.0,,8.0
spa,2.0,4.0,2.0,2.0,1.0,1.0,2,2,3,5,1.0,1,4.0,1,7,5.0,3.0,3.0,2.0,4.0,8.0
fin,3.0,1.0,6.0,2.0,2.0,1.0,2,4,1,2,1.0,1,2.0,2,1,1.0,1.0,3.0,2.0,4.0,8.0
mxc,2.0,7.0,6.0,,,,2,2,1,2,1.0,2,2.0,1,7,,2.0,3.0,1.0,4.0,8.0
kio,6.0,1.0,2.0,1.0,1.0,1.0,5,4,1,4,,2,2.0,3,3,,1.0,1.0,1.0,2.0,8.0
prs,1.0,1.0,2.0,2.0,2.0,1.0,2,4,2,5,1.0,1,2.0,1,7,5.0,1.0,3.0,2.0,4.0,8.0
pai,2.0,6.0,2.0,1.0,1.0,1.0,1,1,1,1,4.0,2,2.0,3,3,,1.0,2.0,,1.0,3.0
bur,1.0,2.0,2.0,2.0,2.0,1.0,6,2,3,5,1.0,1,2.0,1,7,2.0,,3.0,4.0,4.0,3.0
mal,2.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,,1,2.0,1,7,5.0,,3.0,2.0,4.0,3.0
fre,2.0,1.0,1.0,2.0,2.0,1.0,2,2,1,2,1.0,1,4.0,1,7,,3.0,3.0,1.0,4.0,8.0
tiw,2.0,1.0,2.0,2.0,1.0,2.0,2,2,4,5,3.0,2,2.0,3,2,3.0,2.0,3.0,1.0,4.0,5.0
kew,1.0,1.0,2.0,2.0,1.0,2.0,4,2,1,2,,2,2.0,1,7,,,3.0,4.0,4.0,1.0
aco,2.0,,2.0,1.0,1.0,1.0,4,2,5,5,,2,,3,3,,,1.0,1.0,,3.0
tab,2.0,6.0,1.0,,,,4,2,1,2,2.0,1,2.0,1,7,,3.0,3.0,1.0,4.0,5.0
kor,2.0,2.0,5.0,3.0,1.0,1.0,1,1,1,1,1.0,1,2.0,3,4,1.0,1.0,3.0,2.0,4.0,8.0
hun,2.0,1.0,2.0,2.0,2.0,2.0,2,2,5,5,1.0,1,2.0,1,7,1.0,1.0,3.0,2.0,4.0,8.0
bma,2.0,1.0,2.0,1.0,1.0,2.0,2,2,2,5,1.0,1,2.0,2,5,,1.0,3.0,3.0,4.0,8.0
dni,2.0,2.0,2.0,,,,2,2,3,5,,2,,3,1,,,3.0,4.0,4.0,3.0
lkt,2.0,1.0,2.0,1.0,1.0,1.0,4,5,4,5,2.0,2,4.0,1,7,5.0,1.0,3.0,1.0,4.0,3.0
mar,6.0,2.0,2.0,,,,2,5,5,5,3.0,1,4.0,1,7,,,3.0,3.0,4.0,3.0
khm,,1.0,,1.0,1.0,2.0,1,1,1,1,4.0,2,2.0,1,7,3.0,1.0,,1.0,,
knr,1.0,2.0,2.0,3.0,1.0,2.0,2,2,4,5,1.0,1,2.0,3,3,4.0,1.0,3.0,2.0,4.0,3.0
goo,2.0,,2.0,,,,2,4,5,5,3.0,2,1.0,1,7,,1.0,2.0,4.0,2.0,8.0
fij,,6.0,4.0,1.0,1.0,1.0,2,2,2,5,1.0,1,2.0,2,1,1.0,,3.0,1.0,4.0,7.0
hin,2.0,1.0,,2.0,2.0,1.0,2,2,1,2,1.0,1,2.0,3,3,1.0,1.0,3.0,5.0,4.0,8.0
sup,2.0,1.0,1.0,3.0,1.0,1.0,1,1,1,1,1.0,2,2.0,3,5,4.0,1.0,3.0,1.0,4.0,8.0
krk,6.0,,2.0,1.0,1.0,1.0,5,2,5,5,,1,2.0,2,3,3.0,,3.0,1.0,4.0,3.0
wic,2.0,1.0,2.0,3.0,2.0,1.0,4,5,2,5,,2,2.0,3,3,1.0,,3.0,1.0,4.0,3.0
ket,,1.0,,2.0,1.0,1.0,4,2,2,5,2.0,1,2.0,1,7,1.0,1.0,3.0,1.0,4.0,8.0
shk,1.0,1.0,,2.0,2.0,2.0,1,1,1,1,2.0,2,4.0,1,7,1.0,1.0,3.0,4.0,4.0,3.0
lez,1.0,2.0,5.0,2.0,1.0,1.0,1,1,1,1,1.0,2,2.0,3,3,2.0,1.0,3.0,4.0,4.0,8.0
kut,2.0,1.0,4.0,,,,2,5,2,5,3.0,1,2.0,1,7,,,3.0,1.0,4.0,3.0
klv,2.0,6.0,2.0,1.0,1.0,2.0,2,2,2,5,3.0,2,1.0,1,7,3.0,1.0,3.0,1.0,4.0,8.0
ain,2.0,1.0,2.0,1.0,1.0,1.0,6,5,2,5,3.0,1,2.0,1,7,5.0,1.0,3.0,1.0,4.0,3.0
tur,1.0,1.0,2.0,2.0,2.0,1.0,2,4,1,2,1.0,1,2.0,3,3,2.0,1.0,3.0,2.0,4.0,8.0
hzb,1.0,2.0,,2.0,2.0,1.0,2,1,1,2,1.0,2,2.0,3,3,,1.0,1.0,4.0,2.0,8.0
wra,1.0,2.0,,,,,2,1,1,3,1.0,1,2.0,2,1,,,3.0,1.0,4.0,8.0
irq,1.0,2.0,2.0,3.0,1.0,2.0,2,2,1,2,1.0,1,2.0,2,1,,4.0,3.0,2.0,4.0,8.0
kay,1.0,6.0,5.0,,,,1,1,1,1,,1,2.0,3,5,4.0,,3.0,2.0,4.0,8.0
pau,5.0,2.0,2.0,1.0,1.0,2.0,6,4,1,2,,1,2.0,1,7,4.0,,3.0,4.0,4.0,1.0
cha,2.0,1.0,,1.0,1.0,1.0,3,2,1,2,3.0,1,2.0,1,7,,2.0,2.0,1.0,2.0,1.0
epe,1.0,2.0,5.0,1.0,1.0,2.0,1,1,1,1,1.0,2,2.0,2,5,,1.0,3.0,4.0,4.0,5.0
jak,2.0,6.0,6.0,1.0,1.0,1.0,3,4,3,5,1.0,1,2.0,3,2,,,1.0,1.0,1.0,6.0
chk,2.0,6.0,2.0,2.0,1.0,1.0,6,2,2,5,1.0,2,2.0,3,4,4.0,1.0,2.0,4.0,1.0,8.0
brm,6.0,2.0,5.0,1.0,1.0,2.0,1,1,1,1,2.0,2,4.0,2,3,1.0,1.0,3.0,2.0,4.0,8.0
awp,6.0,1.0,2.0,2.0,2.0,1.0,5,2,1,4,1.0,2,2.0,3,5,,1.0,3.0,2.0,4.0,8.0
kho,2.0,1.0,1.0,3.0,1.0,1.0,2,1,1,3,2.0,1,4.0,3,5,5.0,,3.0,2.0,4.0,3.0
hai,6.0,1.0,1.0,,,,1,1,1,1,1.0,2,2.0,1,7,,1.0,,1.0,,
abk,1.0,2.0,2.0,1.0,1.0,1.0,3,2,3,5,1.0,2,2.0,3,3,5.0,1.0,3.0,1.0,4.0,4.0
ind,4.0,1.0,1.0,1.0,1.0,2.0,2,2,1,3,4.0,1,2.0,1,7,3.0,1.0,3.0,1.0,4.0,2.0
